drug_a,drug_b,score,name_a,name_b,influential_neighbors_a,influential_neighbors_b
DB01873,DB12816,0.9922980666160583,Epothilone D,Terpinen-4-ol,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB12816:Terpinen-4-ol (1.000)
DB00253,DB01873,0.9922841191291808,Medrysone,Epothilone D,DB00253:Medrysone (0.518); DB12095:Telotristat ethyl (0.056),DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000)
DB00459,DB00682,0.99227637052536,Acitretin,Warfarin,DB00459:Acitretin (0.232); DB12474:Lynestrenol (0.010),DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000)
DB01364,DB14055,0.992234706878662,Ephedrine,(S)-Warfarin,DB01364:Ephedrine (1.000),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB03410,DB14055,0.9922176599502563,4-hydroxycoumarin,(S)-Warfarin,DB12939:Nikkomycin Z (0.996); DB04741:Myxothiazol (0.996); DB06733:Bafilomycin A1 (0.994),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB00682,DB13317,0.9921935796737672,Warfarin,Flunoxaprofen,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB12235:Estetrol (0.081); DB13317:Flunoxaprofen (0.046)
DB00682,DB04744,0.9921863079071044,Warfarin,Lawsone,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB04744:Lawsone (0.148); DB03410:4-hydroxycoumarin (0.073)
DB01364,DB06770,0.9920610189437866,Ephedrine,Benzyl alcohol,DB01364:Ephedrine (1.000),DB04952:Ramoplanin (1.000); DB11377:Bambermycins (1.000); DB11401:Efrotomycin (1.000)
DB13308,DB13368,0.991943359375,Oxametacin,Motretinide,DB13308:Oxametacin (1.000),DB13368:Motretinide (0.141); DB12474:Lynestrenol (0.008)
DB02753,DB03423,0.9919177889823914,Selenoinosine,S-Adenosyl-L-Homoselenocysteine,DB02753:Selenoinosine (0.322); DB06210:Eltrombopag (0.006),DB03423:S-Adenosyl-L-Homoselenocysteine (0.114); DB06210:Eltrombopag (0.004)
DB01418,DB09275,0.9919048547744752,Acenocoumarol,Bismuth subcitrate potassium,DB01418:Acenocoumarol (1.000),DB00256:Lymecycline (1.000); DB12329:Eravacycline (0.997); DB00453:Clomocycline (0.997)
DB01873,DB13158,0.9917612075805664,Epothilone D,Clobetasone,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB13158:Clobetasone (0.428); DB12095:Telotristat ethyl (0.032)
DB06137,DB13821,0.9917587637901306,Tirbanibulin,Ceftezole,DB06137:Tirbanibulin (0.575); DB00582:Voriconazole (0.012),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB14055,DB14485,0.9917306303977966,(S)-Warfarin,Zinc ascorbate,DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000),DB14485:Zinc ascorbate (0.376); DB00537:Ciprofloxacin (0.029)
DB13055,DB13821,0.9917144179344176,Oteseconazole,Ceftezole,DB13055:Oteseconazole (0.231); DB01076:Atorvastatin (0.040),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB00288,DB01873,0.9917076230049132,Amcinonide,Epothilone D,DB00288:Amcinonide (0.369); DB12095:Telotristat ethyl (0.022),DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000)
DB00328,DB13411,0.991665542125702,Indomethacin,Lofepramine,DB04911:Oritavancin (1.000); DB11720:Angiotensin 1-7 (1.000); DB01045:Rifampicin (1.000),DB09275:Bismuth subcitrate potassium (0.075); DB13411:Lofepramine (0.033)
DB06770,DB13845,0.9916306138038636,Benzyl alcohol,Etafenone,DB04952:Ramoplanin (1.000); DB11377:Bambermycins (1.000); DB11401:Efrotomycin (1.000),DB13845:Etafenone (0.453); DB13967:Patent Blue (0.010)
DB08880,DB12524,0.991619348526001,Teriflunomide,BI-671800,DB00570:Vinblastine (1.000); DB12026:Voxilaprevir (1.000); DB11575:Grazoprevir (1.000),DB12524:BI-671800 (1.000)
DB04892,DB08169,0.9915691018104552,Phenserine,(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide,DB04892:Phenserine (0.146); DB09262:Imidafenacin (0.047),DB08169:(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide (1.000)
DB07443,DB15317,0.9915652275085448,(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide,Posiphen,DB07443:(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide (1.000),DB15317:Posiphen (0.146); DB09262:Imidafenacin (0.047)
DB01629,DB02753,0.9914867877960204,5-fluorouridine,Selenoinosine,DB01629:5-fluorouridine (0.067); DB08984:Etofenamate (0.037),DB02753:Selenoinosine (0.322); DB06210:Eltrombopag (0.006)
DB06770,DB08264,0.9913966059684752,Benzyl alcohol,"(1R, 2S)-cis 1,2 dihydroxy-1,2-dihydronaphthalene",DB04952:Ramoplanin (1.000); DB11377:Bambermycins (1.000); DB11401:Efrotomycin (1.000),"DB08264:(1R, 2S)-cis 1,2 dihydroxy-1,2-dihydronaphthalene (1.000)"
DB01873,DB11750,0.9913705587387084,Epothilone D,Clobetasol,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB11750:Clobetasol (0.391); DB12095:Telotristat ethyl (0.028)
DB13821,DB14068,0.9913007616996764,Ceftezole,Dexniguldipine,DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998),DB14068:Dexniguldipine (0.284); DB12095:Telotristat ethyl (0.020)
DB00682,DB00852,0.9912070631980896,Warfarin,Pseudoephedrine,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB14490:Ferrous ascorbate (0.894); DB00142:Glutamic acid (0.867); DB14484:Magnesium ascorbate (0.821)
DB01418,DB14520,0.9911977648735046,Acenocoumarol,Tetraferric tricitrate decahydrate,DB01418:Acenocoumarol (1.000),DB14520:Tetraferric tricitrate decahydrate (0.665); DB00537:Ciprofloxacin (0.155)
DB01189,DB08880,0.991127073764801,Desflurane,Teriflunomide,DB01189:Desflurane (0.555); DB14719:Bentazepam (0.055),DB00570:Vinblastine (1.000); DB12026:Voxilaprevir (1.000); DB11575:Grazoprevir (1.000)
DB08953,DB12890,0.9910915493965148,Indalpine,Dihydrexidine,DB12526:Batefenterol (1.000); DB11582:Thiocolchicoside (1.000); DB15149:Futibatinib (1.000),DB01425:Alizapride (0.988); DB15167:Fallypride (0.975); DB09018:Bromopride (0.975)
DB07951,DB14055,0.9910224676132202,N-(indole-3-acetyl)-L-aspartic acid,(S)-Warfarin,DB07951:N-(indole-3-acetyl)-L-aspartic acid (1.000),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB13596,DB14055,0.9909296631813048,Oxycinchophen,(S)-Warfarin,DB13596:Oxycinchophen (1.000),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB14055,DB14514,0.9909150004386902,(S)-Warfarin,Magnesium levulinate,DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000),DB14514:Magnesium levulinate (0.533); DB00537:Ciprofloxacin (0.062)
DB01548,DB08783,0.9907670021057128,Diprenorphine,(4-{(2S)-2-[(tert-butoxycarbonyl)amino]-3-methoxy-3-oxopropyl}phenyl)methaneseleninic acid,DB01548:Diprenorphine (0.611); DB09049:Naloxegol (0.312),DB08783:(4-{(2S)-2-[(tert-butoxycarbonyl)amino]-3-methoxy-3-oxopropyl}phenyl)methaneseleninic acid (0.452); DB06210:Eltrombopag (0.010)
DB06673,DB08880,0.990735411643982,Almorexant,Teriflunomide,DB06673:Almorexant (1.000),DB00570:Vinblastine (1.000); DB12026:Voxilaprevir (1.000); DB11575:Grazoprevir (1.000)
DB02585,DB06770,0.9907006025314332,4-(Hydroxymethyl)Benzamidine,Benzyl alcohol,DB02585:4-(Hydroxymethyl)Benzamidine (1.000),DB04952:Ramoplanin (1.000); DB11377:Bambermycins (1.000); DB11401:Efrotomycin (1.000)
DB01418,DB11181,0.9906654357910156,Acenocoumarol,Homatropine,DB01418:Acenocoumarol (1.000),DB11181:Homatropine (0.193); DB09262:Imidafenacin (0.050)
DB09282,DB13821,0.9906271696090698,Molsidomine,Ceftezole,DB09282:Molsidomine (0.538); DB09238:Manidipine (0.007),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB04619,DB14055,0.9905535578727722,Acetophenone,(S)-Warfarin,DB00460:Verteporfin (0.997); DB04619:Acetophenone (0.863),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB04619,DB06770,0.9905015230178832,Acetophenone,Benzyl alcohol,DB00460:Verteporfin (0.997); DB04619:Acetophenone (0.863),DB04952:Ramoplanin (1.000); DB11377:Bambermycins (1.000); DB11401:Efrotomycin (1.000)
DB06770,DB14186,0.9904834032058716,Benzyl alcohol,Cinnamyl alcohol,DB04952:Ramoplanin (1.000); DB11377:Bambermycins (1.000); DB11401:Efrotomycin (1.000),DB14186:Cinnamyl alcohol (0.767); DB09299:Tenofovir alafenamide (0.083)
DB00825,DB11344,0.9904643297195436,Levomenthol,(+)-menthol,DB06699:Degarelix (1.000); DB02638:Terlipressin (1.000); DB12174:CUDC-101 (0.997),DB11344:(+)-menthol (1.000)
DB01873,DB07703,0.9904286861419678,Epothilone D,"(3R,4S,5S,7R,9E,11R,12R)-12-ETHYL-4-HYDROXY-3,5,7,11-TETRAMETHYLOXACYCLODODEC-9-ENE-2,8-DIONE",DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),"DB07703:(3R,4S,5S,7R,9E,11R,12R)-12-ETHYL-4-HYDROXY-3,5,7,11-TETRAMETHYLOXACYCLODODEC-9-ENE-2,8-DIONE (1.000)"
DB08455,DB14055,0.9902623295783995,Ro 12-7310,(S)-Warfarin,DB08455:Ro 12-7310 (0.287); DB12474:Lynestrenol (0.012),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB07559,DB08880,0.9902319312095642,"(2Z)-2-cyano-N-(2,2'-dichlorobiphenyl-4-yl)-3-hydroxybut-2-enamide",Teriflunomide,"DB07559:(2Z)-2-cyano-N-(2,2'-dichlorobiphenyl-4-yl)-3-hydroxybut-2-enamide (1.000)",DB00570:Vinblastine (1.000); DB12026:Voxilaprevir (1.000); DB11575:Grazoprevir (1.000)
DB09227,DB13821,0.9901776909828186,Barnidipine,Ceftezole,DB09227:Barnidipine (0.010); DB00682:Warfarin (0.003),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB00485,DB13821,0.9901660084724426,Dicloxacillin,Ceftezole,DB00485:Dicloxacillin (0.010); DB00682:Warfarin (0.003),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB01501,DB08169,0.9901328086853028,Difenoxin,(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide,DB01501:Difenoxin (1.000),DB08169:(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide (1.000)
DB00328,DB01228,0.9900926947593688,Indomethacin,Encainide,DB04911:Oritavancin (1.000); DB11720:Angiotensin 1-7 (1.000); DB01045:Rifampicin (1.000),DB01228:Encainide (0.060); DB00825:Levomenthol (0.056)
DB08559,DB13821,0.99009108543396,"N-[(2S,4S,6R)-2-(dihydroxymethyl)-4-hydroxy-3,3-dimethyl-7-oxo-4lambda~4~-thia-1-azabicyclo[3.2.0]hept-6-yl]-2-phenylacetamide",Ceftezole,"DB08559:N-[(2S,4S,6R)-2-(dihydroxymethyl)-4-hydroxy-3,3-dimethyl-7-oxo-4lambda~4~-thia-1-azabicyclo[3.2.0]hept-6-yl]-2-phenylacetamide (1.000)",DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB01711,DB06770,0.9900850057601928,"2,3,4,5,6-Pentafluorobenzyl Alcohol",Benzyl alcohol,"DB01711:2,3,4,5,6-Pentafluorobenzyl Alcohol (1.000)",DB04952:Ramoplanin (1.000); DB11377:Bambermycins (1.000); DB11401:Efrotomycin (1.000)
DB01364,DB07443,0.9900687336921692,Ephedrine,(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide,DB01364:Ephedrine (1.000),DB07443:(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide (1.000)
DB00572,DB00682,0.9900224804878236,Atropine,Warfarin,DB00572:Atropine (0.329); DB14719:Bentazepam (0.016),DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000)
DB05541,DB13821,0.9899645447731018,Brivaracetam,Ceftezole,DB05541:Brivaracetam (0.037); DB00682:Warfarin (0.004),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB13001,DB13821,0.9898452758789062,Tinoridine,Ceftezole,DB13001:Tinoridine (0.049); DB00682:Warfarin (0.004),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB00459,DB14055,0.989730954170227,Acitretin,(S)-Warfarin,DB00459:Acitretin (0.232); DB12474:Lynestrenol (0.010),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB08953,DB11653,0.9896345734596252,Indalpine,Bremelanotide,DB12526:Batefenterol (1.000); DB11582:Thiocolchicoside (1.000); DB15149:Futibatinib (1.000),DB00704:Naltrexone (0.070); DB11653:Bremelanotide (0.002)
DB14055,DB14486,0.989614963531494,(S)-Warfarin,Niacinamide ascorbate,DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000),DB12235:Estetrol (0.090); DB14486:Niacinamide ascorbate (0.072)
DB07561,DB08880,0.9895589351654052,(2Z)-2-cyano-N-(3'-ethoxybiphenyl-4-yl)-3-hydroxybut-2-enamide,Teriflunomide,DB07561:(2Z)-2-cyano-N-(3'-ethoxybiphenyl-4-yl)-3-hydroxybut-2-enamide (1.000),DB00570:Vinblastine (1.000); DB12026:Voxilaprevir (1.000); DB11575:Grazoprevir (1.000)
DB01076,DB07951,0.9895384311676024,Atorvastatin,N-(indole-3-acetyl)-L-aspartic acid,DB11554:Tylvalosin (1.000); DB01369:Quinupristin (0.999); DB01321:Josamycin (0.999),DB07951:N-(indole-3-acetyl)-L-aspartic acid (1.000)
DB00682,DB14490,0.9893501400947572,Warfarin,Ferrous ascorbate,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB00852:Pseudoephedrine (0.179); DB14490:Ferrous ascorbate (0.106)
DB08169,DB15317,0.9892783164978028,(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide,Posiphen,DB08169:(2Z)-N-biphenyl-4-yl-2-cyano-3-cyclopropyl-3-hydroxyprop-2-enamide (1.000),DB15317:Posiphen (0.146); DB09262:Imidafenacin (0.047)
DB12127,DB13821,0.989277482032776,Sultamicillin,Ceftezole,DB14055:(S)-Warfarin (0.011); DB12127:Sultamicillin (0.003),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB13814,DB13821,0.9892442226409912,Talampicillin,Ceftezole,DB14055:(S)-Warfarin (0.012); DB13814:Talampicillin (0.004),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB00682,DB08655,0.9892402291297911,Warfarin,"9-ACETYL-2,3,4,9-TETRAHYDRO-1H-CARBAZOL-1-ONE",DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),"DB08655:9-ACETYL-2,3,4,9-TETRAHYDRO-1H-CARBAZOL-1-ONE (1.000)"
DB01548,DB09076,0.9892288446426392,Diprenorphine,Umeclidinium,DB01548:Diprenorphine (0.611); DB09049:Naloxegol (0.312),DB09076:Umeclidinium (0.693); DB14719:Bentazepam (0.076)
DB00671,DB13821,0.9892085194587708,Cefixime,Ceftezole,DB14055:(S)-Warfarin (0.013); DB00671:Cefixime (0.009),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB13300,DB13821,0.9892035126686096,Epicillin,Ceftezole,DB14055:(S)-Warfarin (0.012); DB13300:Epicillin (0.007),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB09319,DB13821,0.989197552204132,Carindacillin,Ceftezole,DB14055:(S)-Warfarin (0.013); DB09319:Carindacillin (0.009),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB01602,DB13821,0.9891966581344604,Bacampicillin,Ceftezole,DB14055:(S)-Warfarin (0.013); DB01602:Bacampicillin (0.008),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB01604,DB13821,0.989189386367798,Pivampicillin,Ceftezole,DB14055:(S)-Warfarin (0.013); DB01604:Pivampicillin (0.008),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB01147,DB13821,0.9891856908798218,Cloxacillin,Ceftezole,DB14055:(S)-Warfarin (0.014); DB01147:Cloxacillin (0.011),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB00682,DB14484,0.9891738891601562,Warfarin,Magnesium ascorbate,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB00852:Pseudoephedrine (0.204); DB14484:Magnesium ascorbate (0.179)
DB01607,DB13821,0.9891486763954164,Ticarcillin,Ceftezole,DB01607:Ticarcillin (0.017); DB14055:(S)-Warfarin (0.015),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB13816,DB13821,0.9891409873962402,Aspoxicillin,Ceftezole,DB14055:(S)-Warfarin (0.014); DB13816:Aspoxicillin (0.011),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB00646,DB01873,0.9891306161880492,Nystatin,Epothilone D,DB01076:Atorvastatin (0.019); DB00646:Nystatin (0.011),DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000)
DB01321,DB01873,0.9891191720962524,Josamycin,Epothilone D,DB01076:Atorvastatin (0.012); DB01321:Josamycin (0.001),DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000)
DB01764,DB01873,0.989118218421936,Dalfopristin,Epothilone D,DB01076:Atorvastatin (0.013); DB01764:Dalfopristin (0.001),DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000)
DB13337,DB13821,0.9890788197517396,Pheneticillin,Ceftezole,DB13337:Pheneticillin (0.020); DB14055:(S)-Warfarin (0.016),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB01061,DB13821,0.9890697598457336,Azlocillin,Ceftezole,DB01061:Azlocillin (0.020); DB14055:(S)-Warfarin (0.016),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB01603,DB13821,0.9890484809875488,Meticillin,Ceftezole,DB01603:Meticillin (0.027); DB14055:(S)-Warfarin (0.017),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB13693,DB13821,0.989013671875,Sulbenicillin,Ceftezole,DB13693:Sulbenicillin (0.021); DB14055:(S)-Warfarin (0.016),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB01418,DB13381,0.989012598991394,Acenocoumarol,Sodium feredetate,DB01418:Acenocoumarol (1.000),DB13381:Sodium feredetate (0.459); DB00537:Ciprofloxacin (0.040)
DB00578,DB13821,0.9889965057373048,Carbenicillin,Ceftezole,DB00578:Carbenicillin (0.029); DB14055:(S)-Warfarin (0.017),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB13739,DB13821,0.9889834523200988,Penamecillin,Ceftezole,DB13739:Penamecillin (0.029); DB14055:(S)-Warfarin (0.017),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB00417,DB13821,0.9889546632766724,Phenoxymethylpenicillin,Ceftezole,DB00417:Phenoxymethylpenicillin (0.028); DB14055:(S)-Warfarin (0.017),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB04145,DB06900,0.9889500737190248,Nicotinyl alcohol,1-[4-(hydroxymethyl)phenyl]guanidine,DB04145:Nicotinyl alcohol (0.873); DB13967:Patent Blue (0.780),DB06900:1-[4-(hydroxymethyl)phenyl]guanidine (1.000)
DB00328,DB08193,0.9888862371444702,Indomethacin,2-(3-NITROPHENYL)ACETIC ACID,DB04911:Oritavancin (1.000); DB11720:Angiotensin 1-7 (1.000); DB01045:Rifampicin (1.000),DB08193:2-(3-NITROPHENYL)ACETIC ACID (1.000)
DB13028,DB13821,0.988835871219635,Biapenem,Ceftezole,DB06770:Benzyl alcohol (0.005); DB13028:Biapenem (0.001),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB04744,DB06770,0.9887862205505372,Lawsone,Benzyl alcohol,DB04744:Lawsone (0.148); DB03410:4-hydroxycoumarin (0.073),DB04952:Ramoplanin (1.000); DB11377:Bambermycins (1.000); DB11401:Efrotomycin (1.000)
DB13317,DB14055,0.9887722134590148,Flunoxaprofen,(S)-Warfarin,DB12235:Estetrol (0.081); DB13317:Flunoxaprofen (0.046),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB00682,DB00937,0.9886749982833862,Warfarin,Diethylpropion,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB00937:Diethylpropion (0.444); DB14719:Bentazepam (0.023)
DB11485,DB13821,0.9886341094970704,Ceftiofur,Ceftezole,DB11485:Ceftiofur (0.011); DB06770:Benzyl alcohol (0.006),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB04744,DB14055,0.9885969758033752,Lawsone,(S)-Warfarin,DB04744:Lawsone (0.148); DB03410:4-hydroxycoumarin (0.073),DB01141:Micafungin (1.000); DB15213:25-desacetylrifapentine (1.000); DB01220:Rifaximin (1.000)
DB11181,DB11344,0.9885777235031128,Homatropine,(+)-menthol,DB11181:Homatropine (0.193); DB09262:Imidafenacin (0.050),DB11344:(+)-menthol (1.000)
DB13821,DB15177,0.988457977771759,Ceftezole,VX-659,DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998),DB15177:VX-659 (1.000)
DB01418,DB03410,0.9884290099143982,Acenocoumarol,4-hydroxycoumarin,DB01418:Acenocoumarol (1.000),DB12939:Nikkomycin Z (0.996); DB04741:Myxothiazol (0.996); DB06733:Bafilomycin A1 (0.994)
DB06481,DB07443,0.9882487058639526,Manitimus,(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide,DB06481:Manitimus (1.000),DB07443:(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide (1.000)
DB01598,DB13821,0.9882379174232484,Imipenem,Ceftezole,DB01598:Imipenem (0.482); DB01004:Ganciclovir (0.009),DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB02072,DB13821,0.9881979823112488,"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid",Ceftezole,"DB02072:2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid (1.000)",DB06402:Telavancin (1.000); DB00512:Vancomycin (1.000); DB00115:Cyanocobalamin (0.998)
DB00682,DB04631,0.9881397485733032,Warfarin,Atpenin A5,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB04631:Atpenin A5 (1.000)
DB00682,DB13277,0.9881238341331482,Warfarin,Benziodarone,DB01201:Rifapentine (1.000); DB09308:Solithromycin (1.000); DB00954:Dirithromycin (1.000),DB13277:Benziodarone (0.568); DB01021:Trichlormethiazide (0.040)
DB01873,DB06543,0.9880657196044922,Epothilone D,Astaxanthin,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB06543:Astaxanthin (0.163); DB13821:Ceftezole (0.005)
DB08783,DB12095,0.98806494474411,(4-{(2S)-2-[(tert-butoxycarbonyl)amino]-3-methoxy-3-oxopropyl}phenyl)methaneseleninic acid,Telotristat ethyl,DB08783:(4-{(2S)-2-[(tert-butoxycarbonyl)amino]-3-methoxy-3-oxopropyl}phenyl)methaneseleninic acid (0.452); DB06210:Eltrombopag (0.010),DB14068:Dexniguldipine (0.716); DB09239:Niguldipine (0.716); DB09237:Levamlodipine (0.669)
DB03102,DB08880,0.9880253672599792,"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid",Teriflunomide,"DB03102:2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Pyran-3-Carboxylic Acid (1.000)",DB00570:Vinblastine (1.000); DB12026:Voxilaprevir (1.000); DB11575:Grazoprevir (1.000)
DB01076,DB13317,0.9880194067955016,Atorvastatin,Flunoxaprofen,DB11554:Tylvalosin (1.000); DB01369:Quinupristin (0.999); DB01321:Josamycin (0.999),DB12235:Estetrol (0.081); DB13317:Flunoxaprofen (0.046)
DB04619,DB07443,0.9879400730133056,Acetophenone,(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide,DB00460:Verteporfin (0.997); DB04619:Acetophenone (0.863),DB07443:(2Z)-N-biphenyl-4-yl-2-cyano-3-hydroxybut-2-enamide (1.000)
DB01873,DB06145,0.987916111946106,Epothilone D,Spiramycin,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB01076:Atorvastatin (0.013); DB06145:Spiramycin (0.001)
DB01873,DB11554,0.9879139065742492,Epothilone D,Tylvalosin,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB01076:Atorvastatin (0.008); DB11554:Tylvalosin (0.000)
DB01873,DB06693,0.987908661365509,Epothilone D,Mevastatin,DB05168:Vintafolide (1.000); DB00541:Vincristine (1.000); DB00361:Vinorelbine (1.000),DB01076:Atorvastatin (0.022); DB06693:Mevastatin (0.017)
